Estado / Canal,Ciudad,coordenadas,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
ESTADO DE MEXICO         ,NEZAHUALCOYOTL ,"19.4144862,-99.0135013,13",1569,8148000,6665000,5092000,5009000,5455000,5165000,4960000,6234000,5094000,5234000,5023000,6539000
SONORA                   ,NOGALES        ,"31.2810368,-110.9673822,13.5",1570,19617000,10932000,9798000,8422000,9738000,9400000,9438000,10339000,8902000,8601000,6391000,6118000
OAXACA                   ,OAXACA         ,"17.0611395,-96.7348001,18",1571,2337000,1621000,1747000,1758000,1991000,1717000,1397000,1749000,1445000,1397000,1289000,1543000
JALISCO                  ,ZAPOTLANEJO    ,"20.5541588,-103.7572212,10.25",1572,8585000,6277000,4793000,4892000,4784000,4906000,4515000,4813000,4238000,4003000,4073000,3562000
CHIHUAHUA                ,NUEVO CASAS GRA,"30.3973203,-107.9267439,14",1573,26588000,16813000,12933000,11805000,14009000,12873000,12202000,13081000,11608000,11283000,8864000,8914000
SONORA                   ,HERMOSILLO     ,"29.0628048,-111.0115442,14",1574,13655000,8606000,6739000,6406000,7189000,5803000,5469000,6579000,6096000,5606000,4260000,4280000
JALISCO                  ,ETZATLAN       ,"20.7634575,-104.3233319,11",1575,3758000,2388000,2153000,2227000,2328000,2092000,2126000,2140000,1728000,1810000,1522000,1578000
OAXACA                   ,CHAHUITES      ,"16.2894962,-94.1962533,18.5",1576,12222000,9475000,5875000,5769000,5999000,6228000,5701000,7329000,7245000,6663000,6326000,5916000
YUCATAN                  ,MERIDA         ,"21.0568237,-89.597485,18.75",1577,7278000,3299000,2829000,2530000,3078000,2292000,1890000,2206000,2094000,2367000,2018000,2538000
NUEVO LEON               ,MONTERREY      ,"25.6905586,-100.3266284,12",1578,2716000,1013000,899000,837000,1185000,977000,737000,994000,848000,745000,652000,455000
JALISCO                  ,TALA           ,"20.6535855,-103.8720539,11",1579,2841000,1698000,1591000,1483000,1786000,1690000,1576000,1669000,1237000,1322000,1338000,1142000
JALISCO                  ,TLAQUEPAQUE    ,"20.6034656,-103.4868845,12",1580,10269000,6473000,5356000,4860000,5302000,4976000,4635000,5215000,4002000,4481000,3825000,4059000
DURANGO                  ,GOMEZ PALACIO  ,"25.5797516,-103.4951759,20",1581,9328000,5006000,4211000,3988000,4628000,4993000,4607000,4684000,4409000,4364000,3936000,3867000
TLAXCALA                 ,PAPALOTLA      ,"19.1514695,-98.2235484,19.29",1582,10719000,8343000,7527000,7353000,7422000,6931000,7237000,7947000,6400000,6422000,5405000,7415000
