Estado / Canal,Ciudad,latitud,longitud,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
OAXACA                   ,TAMAZULAPAM    ,19.0508157,-98.2352235,1528,20585.21,20585.21,19132.21,20585.21,20585.21,20342.21,19132.21,20392.81,20585.21,20341.21,20341.21,23595.8036
VERACRUZ                 ,VERACRUZ       ,22.0031461,-98.7788,1529,24224.66,24224.66,22771.66,24224.66,24224.66,23751.97,22771.66,22219.86,22604.66,22360.66,22130.97,25938.3656
SINALOA                  ,GUAMUCHIL      ,19.320849,-99.1114628,1530,8030.11,8030.11,7786.11,7786.11,7786.11,7583.17,7786.11,6201.43,6199.91,6271.91,5167.97,6231.4156
COAHUILA                 ,MATAMOROS      ,24.7981259,-107.4253507,1531,22657.38,22657.38,19705.39,21158.39,21158.39,22184.69,19705.39,21485.99,21678.39,20614.31,19998.7,23464.9324
BAJA CALIFORNIA NORTE    ,MEXICALI       ,25.7370451,-100.3755694,1532,25596.66,27482.49,24143.66,25596.66,26932.32,26622.96,24143.66,24912.18,24874.32,24630.32,24400.63,28744.3476
COAHUILA                 ,PARRAS DE LA FU,19.1584694,-96.1271652,1533,24513.3945,24123.3845,24006.0445,19035.14,25459.0445,23650.6945,24006.0445,25074.2445,25459.0445,25215.0445,24985.3545,29249.45162
SONORA                   ,SAN LUIS RIO CO,19.4628597,-99.2503704,1534,11581.68,11581.68,10128.68,11581.68,11581.68,11108.99,10128.68,12236.88,12621.68,12377.68,12147.99,14273.5448
ESTADO DE MEXICO         ,TECAMAC        ,21.0162125,-101.8943524,1535,22085.66,22085.66,19133.67,20586.67,20586.67,21842.66,19133.67,21729.93,21922.33,21678.33,21678.33,25146.8628
ESTADO DE MEXICO         ,TLALNEPANTLA   ,28.685317,-106.1418119,1536,21828.9,21828.9,20375.9,21828.9,21828.9,21585.9,20375.9,21636.5,21440.97,21196.97,21196.97,24588.4852
ESTADO DE MEXICO         ,NAUCALPAN      ,20.9524603,-101.4415881,1537,23802.18,23802.18,22349.18,23802.18,23802.18,23128.14,22349.18,23609.78,23414.25,23170.25,23170.25,26877.49
DISTRITO FEDERAL         ,IZTAPALAPA     ,16.3459639,-98.065601,1538,22427.08,22425.27,26930.2273,23164.56,23164.56,22328.28,26930.2273,22972.16,23164.56,22920.56,22920.56,26587.8496
ESTADO DE MEXICO         ,CHIMALHUACAN   ,18.5962211,-95.4585928,1539,24482.2,24482.2,21530.21,22983.21,24318.87,24239.2,21530.21,24126.47,24444.69,24200.43,24200.43,28072.4988
